"Code","Title","Platform","Is Low Cost","Is Missed Opportunity","Judgement","Impact","Impact Score","Notes","Topic","Review Tool Link","Selected scenarios"
"#740D","Always Have at Least 3–5 Product Images for All Products","Desktop","No","No","Violated High","Harmful",-3.4,"","Desktop Web > Product Page > Product Images: Gallery UI, Videos & 360-Views","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/eed1a4c0/assessments/KiXUTbFU","Visual products are mainly sold  · 1-2 product images are typically available on the product details page"
"#739D","Always Allow Users to Submit Product Reviews","Desktop","No","No","Violated High","Harmful",-3.4,"","Desktop Web > Product Page > User Reviews","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/6b203d0b/assessments/zieKD3Vf","No user reviews are supported"
"#237M","Feature a Broad Range of Product Types on the Homepage","Mobile Web","No","Yes","Violated High","Harmful",-3.4,"","Mobile Web > Mobile Homepage & Category Navigation > Mobile Homepage","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/8d7e4818/assessments/33vbjipZxN","0–10% of categories are visually represented"
"#427M","Always Allow Users to Combine Multiple Filter Options of the Same Filter Type","Mobile Web","No","No","Violated High","Harmful",-3.4,"","Mobile Web > Mobile Product Lists & Filtering > Mobile Filtering Interface, Scope & Logic","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/6c5e724b/assessments/2u8wMNlzC","Only one combinable filter option of the same filter type can be selected"
"#740M","Always Have at Least 3–5 Product Images for All Products","Mobile Web","No","No","Violated High","Harmful",-3.4,"","Mobile Web > Mobile Product Page > Mobile Product Images: Gallery UI, Videos & 360-Views","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/540032a2/assessments/KKnzRg5Hn","Visual products are mainly sold  · 1-2 product images are typically available on the product details page"
"#739M","Always Allow Users to Submit Product Reviews","Mobile Web","No","No","Violated High","Harmful",-3.4,"","Mobile Web > Mobile Product Page > Mobile User Reviews","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/bb0af0bb/assessments/ShKfHC-1","No user reviews are supported"
"#359D","Support Keyword Query Suggestions within Autocomplete","Desktop","No","No","Violated High","Harmful",-3,"","Desktop Web > On-Site Search > Search Form & Autocomplete","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/958a2f67/assessments/BT_XplZu","Search autocomplete feature is available · No search query suggestions are present"
"#718D","Immediately Validate Users' Form Field Entries","Desktop","No","No","Violated High","Harmful",-3,"","Desktop Web > Cart & Checkout > Form Field Usability & Design","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/e12b1453/assessments/EgY5Ij-YI","No live inline validation is present"
"#363M","Always Display Autocomplete Suggestions Quickly and Predictably","Mobile Web","No","No","Violated High","Harmful",-3,"","Mobile Web > Mobile On-Site Search > Mobile Search Form & Autocomplete","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/a443569c/assessments/geh5VvOQ","Autocomplete suggestions load quickly without noticeable lag · Autocomplete suggestions change after adding a single space to the end of the search query"
"#284M","Don't Show Overlay Dialogs on Page Load","Mobile Web","Yes","No","Violated High","Harmful",-3,"","Mobile Web > Mobile Site-Wide Features","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/e07ea3e4/assessments/WnlEYX-If","Overlay is immediately shown on the page load  · Small hit area to close the overlay is provided"
"#358D","Always Provide Highly Relevant Alternative Queries on the Results Page","Desktop","No","Yes","Violated High","Harmful",-2.8,"","Desktop Web > On-Site Search > Search Results Layout & Filtering","https://review-tool.baymard.com/reviews/Pn6BlyGCAJEWjeXOzxA5/parts/b183a8b5/assessments/VbnFwi6k","None of the three searches return alternate query suggestions on the search results page"
